dataset_id,method,runtime_sec,n_sequences,source
BFI-0000372,fastbcr,145.1775,785943,/home/vskatova/python3_project/results/clusters/donors/BFI-0000372/fastbcr.stats.json
BFI-0000372,hilary,113.0,785942,original_run:restored
BFI-0000372,scoper_hierarchical,92.547,785942,/home/vskatova/python3_project/results/clusters/donors/BFI-0000372/scoper_hierarchical.stats.json
BFI-0000372,scoper_spectral,1561.6254,785942,/home/vskatova/python3_project/results/clusters/donors/BFI-0000372/scoper_spectral.stats.json
BFI-0000373,fastbcr,334.0792674301192,2773523,/home/vskatova/python3_project/results/metrics/donors/BFI-0000373/runtime.csv
BFI-0000373,hamming_80,239.3906112331897,2773523,/home/vskatova/python3_project/results/metrics/donors/BFI-0000373/runtime.csv
BFI-0000373,hamming_90,239.6315425960347,2773523,/home/vskatova/python3_project/results/metrics/donors/BFI-0000373/runtime.csv
BFI-0000373,hamming_95,239.51064896117896,2773523,/home/vskatova/python3_project/results/metrics/donors/BFI-0000373/runtime.csv
BFI-0000373,hilary,262.92872792016715,2773523,/home/vskatova/python3_project/results/metrics/donors/BFI-0000373/runtime.csv
BFI-0000373,scoper_hierarchical,392.5363784097135,2773523,/home/vskatova/python3_project/results/metrics/donors/BFI-0000373/runtime.csv
BFI-0000373,scoper_spectral,1930.070997841656,2773523,/home/vskatova/python3_project/results/metrics/donors/BFI-0000373/runtime.csv
BFI-0000374,fastbcr,590.7865116456524,4559654,/home/vskatova/python3_project/results/metrics/donors/BFI-0000374/runtime.csv
BFI-0000374,hamming_80,443.7591723892838,4559654,/home/vskatova/python3_project/results/metrics/donors/BFI-0000374/runtime.csv
BFI-0000374,hamming_90,444.941507011652,4559654,/home/vskatova/python3_project/results/metrics/donors/BFI-0000374/runtime.csv
BFI-0000374,hamming_95,446.88964250311255,4559654,/home/vskatova/python3_project/results/metrics/donors/BFI-0000374/runtime.csv
BFI-0000374,hilary,378.2907271720469,4559654,/home/vskatova/python3_project/results/metrics/donors/BFI-0000374/runtime.csv
